GID_1,GID_0,NAME_0,lookup
ABW.1,ABW,Aruba,1
AIA.1,AIA,Anguilla,54
ATA.1,ATA,Antarctica,136
BLM.1,BLM,Saint-BarthÃ©lemy,302
BVT.1,BVT,Bouvet Island,397
CCK.1,CCK,Cocos Islands,444
COK.1,COK,Cook Islands,580
CUW.1,CUW,CuraÃ§ao,661
CXR.1,CXR,Christmas Island,662
FLK.1,FLK,Falkland Islands,921
GIB.1,GIB,Gibraltar,995
HMD.1,HMD,Heard Island and McDonald Islands,1119
IOT.1,IOT,British Indian Ocean Territory,1264
KIR.1,KIR,Kiribati,1555
MAF.1,MAF,Saint-Martin,1732
MCO.1,MCO,Monaco,1748
MDV.1,MDV,Maldives,1792
MHL.1,MHL,Marshall Islands,1825
NFK.1,NFK,Norfolk Island,2115
NIU.1,NIU,Niue,2171
PCN.1,PCN,Pitcairn Islands,2275
SGS.1,SGS,South Georgia and the South Sandwich Islands,2765
SXM.1,SXM,Sint Maarten,2920
VAT.1,VAT,Vatican City,3448
XCL.1,XCL,Clipperton Island,3573
XPI.1,XPI,Paracel Islands,3586
XSP.1,XSP,Spratly Islands,3587
AFG.1_1,AFG,Afghanistan,2
AFG.2_1,AFG,Afghanistan,13
AFG.3_1,AFG,Afghanistan,24
AFG.4_1,AFG,Afghanistan,30
AFG.5_1,AFG,Afghanistan,31
AFG.6_1,AFG,Afghanistan,32
AFG.7_1,AFG,Afghanistan,33
AFG.8_1,AFG,Afghanistan,34
AFG.9_1,AFG,Afghanistan,35
AFG.10_1,AFG,Afghanistan,3
AFG.11_1,AFG,Afghanistan,4
AFG.12_1,AFG,Afghanistan,5
AFG.13_1,AFG,Afghanistan,6
AFG.14_1,AFG,Afghanistan,7
AFG.15_1,AFG,Afghanistan,8
AFG.16_1,AFG,Afghanistan,9
AFG.17_1,AFG,Afghanistan,10
AFG.18_1,AFG,Afghanistan,11
AFG.19_1,AFG,Afghanistan,12
AFG.20_1,AFG,Afghanistan,14
AFG.21_1,AFG,Afghanistan,15
AFG.22_1,AFG,Afghanistan,16
AFG.23_1,AFG,Afghanistan,17
AFG.24_1,AFG,Afghanistan,18
AFG.25_1,AFG,Afghanistan,19
AFG.26_1,AFG,Afghanistan,20
AFG.27_1,AFG,Afghanistan,21
AFG.28_1,AFG,Afghanistan,22
AFG.29_1,AFG,Afghanistan,23
AFG.30_1,AFG,Afghanistan,25
AFG.31_1,AFG,Afghanistan,26
AFG.32_1,AFG,Afghanistan,27
AFG.33_1,AFG,Afghanistan,28
AFG.34_1,AFG,Afghanistan,29
AGO.1_1,AGO,Angola,36
AGO.2_1,AGO,Angola,46
AGO.3_1,AGO,Angola,47
AGO.4_1,AGO,Angola,48
AGO.5_1,AGO,Angola,49
AGO.6_1,AGO,Angola,50
AGO.7_1,AGO,Angola,51
AGO.8_1,AGO,Angola,52
AGO.9_1,AGO,Angola,53
AGO.10_1,AGO,Angola,37
AGO.11_1,AGO,Angola,38
AGO.12_1,AGO,Angola,39
AGO.13_1,AGO,Angola,40
AGO.14_1,AGO,Angola,41
AGO.15_1,AGO,Angola,42
AGO.16_1,AGO,Angola,43
AGO.17_1,AGO,Angola,44
AGO.18_1,AGO,Angola,45
ALA.1_1,ALA,Ãland,55
ALA.2_1,ALA,Ãland,63
ALA.3_1,ALA,Ãland,64
ALA.4_1,ALA,Ãland,65
ALA.5_1,ALA,Ãland,66
ALA.6_1,ALA,Ãland,67
ALA.7_1,ALA,Ãland,68
ALA.8_1,ALA,Ãland,69
ALA.9_1,ALA,Ãland,70
ALA.10_1,ALA,Ãland,56
ALA.11_1,ALA,Ãland,57
ALA.12_1,ALA,Ãland,58
ALA.13_1,ALA,Ãland,59
ALA.14_1,ALA,Ãland,60
ALA.15_1,ALA,Ãland,61
ALA.16_1,ALA,Ãland,62
ALB.1_1,ALB,Albania,71
ALB.2_1,ALB,Albania,75
ALB.3_1,ALB,Albania,76
ALB.4_1,ALB,Albania,77
ALB.5_1,ALB,Albania,78
ALB.6_1,ALB,Albania,79
ALB.7_1,ALB,Albania,80
ALB.8_1,ALB,Albania,81
ALB.9_1,ALB,Albania,82
ALB.10_1,ALB,Albania,72
ALB.11_1,ALB,Albania,73
ALB.12_1,ALB,Albania,74
AND.1_1,AND,Andorra,83
AND.2_1,AND,Andorra,84
AND.3_1,AND,Andorra,85
AND.4_1,AND,Andorra,86
AND.5_1,AND,Andorra,87
AND.6_1,AND,Andorra,88
AND.7_1,AND,Andorra,89
ARE.1_1,ARE,United Arab Emirates,90
ARE.2_1,ARE,United Arab Emirates,91
ARE.3_1,ARE,United Arab Emirates,92
ARE.4_1,ARE,United Arab Emirates,93
ARE.5_1,ARE,United Arab Emirates,94
ARE.6_1,ARE,United Arab Emirates,95
ARE.7_1,ARE,United Arab Emirates,96
ARG.1_1,ARG,Argentina,97
ARG.2_1,ARG,Argentina,108
ARG.3_1,ARG,Argentina,114
ARG.4_1,ARG,Argentina,115
ARG.5_1,ARG,Argentina,116
ARG.6_1,ARG,Argentina,117
ARG.7_1,ARG,Argentina,118
ARG.8_1,ARG,Argentina,119
ARG.9_1,ARG,Argentina,120
ARG.10_1,ARG,Argentina,98
ARG.11_1,ARG,Argentina,99
ARG.12_1,ARG,Argentina,100
ARG.13_1,ARG,Argentina,101
ARG.14_1,ARG,Argentina,102
ARG.15_1,ARG,Argentina,103
ARG.16_1,ARG,Argentina,104
ARG.17_1,ARG,Argentina,105
ARG.18_1,ARG,Argentina,106
ARG.19_1,ARG,Argentina,107
ARG.20_1,ARG,Argentina,109
ARG.21_1,ARG,Argentina,110
ARG.22_1,ARG,Argentina,111
ARG.23_1,ARG,Argentina,112
ARG.24_1,ARG,Argentina,113
ARM.1_1,ARM,Armenia,121
ARM.2_1,ARM,Armenia,124
ARM.3_1,ARM,Armenia,125
ARM.4_1,ARM,Armenia,126
ARM.5_1,ARM,Armenia,127
ARM.6_1,ARM,Armenia,128
ARM.7_1,ARM,Armenia,129
ARM.8_1,ARM,Armenia,130
ARM.9_1,ARM,Armenia,131
ARM.10_1,ARM,Armenia,122
ARM.11_1,ARM,Armenia,123
ASM.1_1,ASM,American Samoa,132
ASM.2_1,ASM,American Samoa,133
ASM.3_1,ASM,American Samoa,134
ASM.4_1,ASM,American Samoa,135
ATF.1_1,ATF,French Southern Territories,137
ATF.2_1,ATF,French Southern Territories,138
